project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
datasette,91.3669%,91.0526%,5.1334%,6.9927%,79.1367%,78.4211%,8.1121%,10.9882%,66.1871%,64.2105%,10.4545%,13.8636%,58.2734%,55.7895%,13.0225%,17.0418%,45.3237%,42.6316%,14.2534%,18.3258%,35.9712%,34.2105%,14.0449%,18.2584%,33.0935%,32.1053%,15.1316%,20.0658%,28.7770%,28.9474%,15.8730%,21.8254%,26.6187%,26.3158%,16.9725%,22.9358%,25.1799%,24.2105%,18.4211%,24.2105%,22.3022%,21.5789%,19.3750%,25.6250%,20.8633%,20.0000%,19.8630%,26.0274%,20.1439%,19.4737%,21.5385%,28.4615%,18.7050%,17.8947%,21.6667%,28.3333%,16.5468%,16.3158%,20.1754%,27.1930%,16.5468%,16.3158%,21.2963%,28.7037%,16.5468%,16.3158%,22.1154%,29.8077%,15.1079%,15.2632%,22.3404%,30.8511%,14.3885%,14.7368%,23.8095%,33.3333%,14.3885%,14.7368%,24.3902%,34.1463%
DeepFaceLab,82.7068%,82.0046%,4.2199%,4.6036%,48.8722%,48.5194%,8.2278%,8.9873%,31.0777%,31.2073%,11.6323%,12.8518%,20.8020%,21.4123%,13.3871%,15.1613%,14.0351%,14.8064%,15.6425%,18.1564%,11.0276%,12.0729%,18.3333%,22.0833%,7.0175%,7.9727%,16.4706%,20.5882%,5.2632%,6.1503%,16.6667%,21.4286%,4.2607%,5.2392%,17.7083%,23.9583%,3.2581%,4.1002%,18.0556%,25.0000%,2.7569%,3.6446%,17.7419%,25.8065%,2.2556%,2.9613%,18.0000%,26.0000%,2.0050%,2.5057%,19.0476%,26.1905%,1.7544%,2.0501%,20.5882%,26.4706%,1.7544%,2.0501%,21.8750%,28.1250%,1.2531%,1.5945%,20.8333%,29.1667%,1.0025%,1.1390%,22.2222%,27.7778%,0.7519%,0.9112%,18.7500%,25.0000%,0.7519%,0.9112%,25.0000%,33.3333%,0.7519%,0.6834%,30.0000%,30.0000%
DeepSpeed,80.6452%,78.3831%,3.6500%,4.3411%,39.1398%,37.6098%,8.2502%,9.7008%,23.2258%,21.6169%,13.7405%,15.6489%,14.1935%,13.1810%,19.2982%,21.9298%,10.7527%,9.8418%,27.7778%,31.1111%,7.9570%,7.5571%,30.8333%,35.8333%,5.5914%,5.4482%,34.2105%,40.7895%,4.3011%,4.0422%,37.0370%,42.5926%,2.7957%,2.8120%,36.1111%,44.4444%,1.7204%,1.7575%,33.3333%,41.6667%,0.8602%,1.0545%,28.5714%,42.8571%,0.6452%,0.7030%,30.0000%,40.0000%,0.6452%,0.7030%,37.5000%,50.0000%,0.4301%,0.3515%,50.0000%,50.0000%,0.4301%,0.3515%,50.0000%,50.0000%,0.4301%,0.3515%,50.0000%,50.0000%,0.4301%,0.3515%,50.0000%,50.0000%,0.2151%,0.1757%,50.0000%,50.0000%,0.2151%,0.1757%,50.0000%,50.0000%,0.2151%,0.1757%,50.0000%,50.0000%
deis,91.6667%,85.8586%,3.8693%,4.2714%,66.6667%,62.6263%,4.9645%,5.4965%,46.4286%,45.4545%,4.7677%,5.5012%,40.4762%,38.3838%,9.0909%,10.1604%,28.5714%,28.2828%,9.5238%,11.1111%,17.8571%,18.1818%,7.6531%,9.1837%,15.4762%,16.1616%,9.0278%,11.1111%,11.9048%,13.1313%,8.4746%,11.0169%,11.9048%,12.1212%,9.0909%,10.9091%,10.7143%,11.1111%,10.0000%,12.2222%,10.7143%,10.1010%,11.5385%,12.8205%,9.5238%,9.0909%,12.5000%,14.0625%,9.5238%,9.0909%,18.1818%,20.4545%,8.3333%,8.0808%,20.5882%,23.5294%,7.1429%,7.0707%,23.0769%,26.9231%,5.9524%,6.0606%,31.2500%,37.5000%,5.9524%,6.0606%,31.2500%,37.5000%,4.7619%,5.0505%,33.3333%,41.6667%,3.5714%,4.0404%,37.5000%,50.0000%,3.5714%,4.0404%,50.0000%,66.6667%
deluge,87.1102%,84.3284%,1.3839%,1.8662%,77.8586%,73.6567%,1.6605%,2.1881%,72.6611%,68.9552%,1.9304%,2.5518%,65.1767%,62.8358%,2.4584%,3.3014%,52.3909%,52.3134%,3.3400%,4.6455%,39.1892%,39.4030%,4.3076%,6.0329%,31.2890%,31.6418%,5.7509%,8.1009%,24.6362%,25.2239%,7.1214%,10.1563%,21.7256%,22.0896%,9.2396%,13.0858%,17.4636%,18.1343%,10.6734%,15.4384%,14.7609%,15.6716%,11.9932%,17.7365%,11.7464%,12.7612%,13.1395%,19.8837%,9.4595%,10.3731%,14.7249%,22.4919%,8.1081%,8.7313%,17.0306%,25.5459%,7.2765%,7.8358%,19.6629%,29.4944%,6.1331%,6.4925%,23.0469%,33.9844%,5.0936%,5.3731%,24.0196%,35.2941%,4.3659%,4.7015%,24.1379%,36.2069%,3.6383%,4.1045%,24.6479%,38.7324%,3.2225%,3.5821%,25.8333%,40.0000%
deoplete.nvim,92.0000%,92.5000%,5.5556%,5.9581%,58.6667%,60.0000%,5.3528%,5.8394%,34.6667%,37.5000%,4.4218%,5.1020%,24.0000%,26.2500%,4.2857%,5.0000%,17.3333%,20.0000%,4.3046%,5.2980%,13.3333%,15.0000%,5.5556%,6.6667%,10.6667%,12.5000%,10.2564%,12.8205%,9.3333%,11.2500%,19.4444%,25.0000%,9.3333%,11.2500%,23.3333%,30.0000%,9.3333%,11.2500%,26.9231%,34.6154%,9.3333%,11.2500%,29.1667%,37.5000%,9.3333%,11.2500%,43.7500%,56.2500%,8.0000%,7.5000%,50.0000%,50.0000%,8.0000%,7.5000%,60.0000%,60.0000%,8.0000%,7.5000%,60.0000%,60.0000%,8.0000%,7.5000%,60.0000%,60.0000%,8.0000%,7.5000%,60.0000%,60.0000%,8.0000%,7.5000%,60.0000%,60.0000%,5.3333%,5.0000%,50.0000%,50.0000%,4.0000%,3.7500%,50.0000%,50.0000%
dirsearch,95.3099%,88.7006%,2.4061%,2.6556%,49.2462%,44.9153%,3.3500%,3.6235%,26.8007%,25.1412%,4.2965%,4.7798%,3.5176%,3.2486%,9.8131%,10.7477%,2.6801%,2.4011%,10.9589%,11.6438%,1.6750%,1.5537%,9.4340%,10.3774%,1.3400%,1.2712%,10.2564%,11.5385%,0.6700%,0.7062%,12.5000%,15.6250%,0.5025%,0.5650%,15.0000%,20.0000%,0.3350%,0.4237%,25.0000%,37.5000%,0.3350%,0.4237%,33.3333%,50.0000%,0.3350%,0.4237%,33.3333%,50.0000%,0.3350%,0.4237%,33.3333%,50.0000%,0.3350%,0.4237%,33.3333%,50.0000%,0.3350%,0.4237%,33.3333%,50.0000%,0.0000%,0.1412%,0.0000%,50.0000%,0.0000%,0.1412%,0.0000%,50.0000%,0.0000%,0.1412%,0.0000%,50.0000%,0.0000%,0.1412%,0.0000%,50.0000%,0.0000%,0.1412%,0.0000%,50.0000%
discord.py,82.6147%,82.1770%,11.3445%,13.1207%,71.0709%,71.5311%,13.1160%,15.3491%,64.1168%,64.9522%,13.1790%,15.5232%,60.3616%,60.7656%,14.6622%,17.1622%,55.0765%,55.8612%,15.9420%,18.8003%,50.7650%,51.6746%,17.7702%,21.0321%,47.2879%,47.4880%,20.7570%,24.2369%,43.5327%,43.3014%,23.7121%,27.4242%,39.0821%,38.2775%,25.9704%,29.5749%,36.3004%,35.4067%,29.0000%,32.8889%,32.8234%,31.9378%,30.5699%,34.5855%,30.8762%,29.7847%,33.1343%,37.1642%,28.6509%,27.3923%,35.1536%,39.0785%,26.1474%,24.8804%,37.7510%,41.7671%,24.6175%,23.2057%,40.2273%,44.0909%,22.8095%,21.5311%,42.2680%,46.3918%,21.6968%,20.2153%,46.1538%,50.0000%,19.8887%,18.6603%,49.3103%,53.7931%,18.0807%,16.8660%,51.5873%,55.9524%,16.4117%,15.1914%,54.1284%,58.2569%
django,80.8767%,80.5272%,0.3953%,0.4805%,59.0650%,59.7093%,0.9714%,1.1987%,42.8288%,44.2070%,1.5727%,1.9817%,32.1282%,33.0440%,2.2720%,2.8526%,24.8444%,25.8082%,3.0200%,3.8297%,19.8252%,20.6661%,3.8371%,4.8829%,16.1700%,16.9343%,4.7584%,6.0834%,13.3492%,14.0920%,5.7143%,7.3639%,11.3760%,12.0634%,6.8316%,8.8436%,9.4425%,10.1866%,7.5948%,10.0021%,7.9857%,8.6787%,8.6464%,11.4712%,6.7143%,7.3552%,9.6241%,12.8702%,5.5754%,6.1402%,10.4002%,13.9822%,4.9397%,5.4893%,11.3236%,15.3613%,4.2378%,4.6756%,12.5490%,16.9020%,3.7876%,4.1983%,13.8031%,18.6776%,3.3108%,3.6233%,14.5180%,19.3961%,3.0062%,3.2979%,15.5479%,20.8219%,2.5957%,2.8857%,16.6667%,22.6190%,2.3838%,2.6687%,18.3673%,25.1020%
django-allauth,91.5873%,91.6403%,0.7787%,0.9764%,51.7460%,49.5883%,2.0115%,2.4156%,28.5714%,26.2825%,3.8208%,4.4046%,18.0952%,16.4661%,6.5555%,7.4756%,14.3651%,12.8562%,10.7867%,12.0977%,12.3016%,11.0196%,14.5677%,16.3534%,10.1587%,8.9930%,18.2336%,20.2279%,8.8889%,7.8531%,22.1344%,24.5059%,7.3810%,6.4598%,26.4205%,28.9773%,6.1905%,5.3198%,30.2326%,32.5581%,5.2381%,4.4965%,33.3333%,35.8586%,4.6032%,3.8632%,36.2500%,38.1250%,4.0476%,3.3566%,38.6364%,40.1515%,3.4127%,2.8499%,42.1569%,44.1176%,3.1746%,2.5332%,43.4783%,43.4783%,2.9365%,2.3433%,48.6842%,48.6842%,2.4603%,1.9633%,48.4375%,48.4375%,2.2222%,1.7733%,48.2759%,48.2759%,2.1429%,1.7099%,50.0000%,50.0000%,1.8254%,1.4566%,52.2727%,52.2727%
django-cms,98.7633%,98.8781%,1.2187%,1.4410%,84.3640%,82.7973%,3.1933%,3.7016%,68.0212%,66.7913%,5.5292%,6.4125%,54.5936%,53.7023%,7.8526%,9.1233%,44.4346%,44.4278%,9.8434%,11.6243%,36.0424%,36.2004%,11.5646%,13.7188%,29.7703%,29.9925%,13.5559%,16.1303%,25.7951%,26.4024%,15.6317%,18.8972%,20.6714%,21.3164%,17.6205%,21.4608%,17.8445%,18.3246%,19.5358%,23.6944%,15.7244%,16.3800%,21.6019%,26.5777%,13.0742%,13.9117%,22.4242%,28.1818%,11.3074%,12.2663%,23.1884%,29.7101%,9.8057%,10.9200%,23.3193%,30.6723%,8.4806%,9.4989%,24.0000%,31.7500%,7.1555%,8.3022%,24.5455%,33.6364%,6.3604%,7.3298%,24.6575%,33.5616%,5.9187%,6.8811%,25.1880%,34.5865%,5.3004%,5.9835%,26.5487%,35.3982%,4.8587%,5.6096%,27.2277%,37.1287%
django-crispy-forms,100.0000%,100.0000%,9.8413%,10.6349%,91.9355%,92.5373%,12.4454%,13.5371%,85.4839%,86.5672%,15.8683%,17.3653%,77.4194%,77.6119%,18.7500%,20.3125%,70.9677%,71.6418%,20.9524%,22.8571%,62.9032%,61.1940%,22.6744%,23.8372%,51.6129%,50.7463%,23.1884%,24.6377%,38.7097%,38.8060%,23.5294%,25.4902%,37.0968%,35.8209%,26.1364%,27.2727%,33.8710%,32.8358%,30.0000%,31.4286%,30.6452%,28.3582%,30.6452%,30.6452%,27.4194%,25.3731%,31.4815%,31.4815%,22.5806%,20.8955%,35.0000%,35.0000%,16.1290%,14.9254%,33.3333%,33.3333%,16.1290%,14.9254%,33.3333%,33.3333%,16.1290%,14.9254%,35.7143%,35.7143%,12.9032%,11.9403%,40.0000%,40.0000%,12.9032%,11.9403%,40.0000%,40.0000%,11.2903%,10.4478%,38.8889%,38.8889%,4.8387%,4.4776%,25.0000%,25.0000%
django-haystack,92.9471%,93.3063%,2.4080%,3.0018%,92.4433%,92.9006%,2.4946%,3.1131%,91.4358%,91.4807%,2.6937%,3.3467%,83.3753%,83.7728%,3.0631%,3.8220%,61.7128%,62.8803%,4.2787%,5.4139%,41.3098%,42.1907%,6.2883%,7.9755%,27.2040%,30.0203%,8.7379%,11.9741%,21.6625%,24.7465%,11.6216%,16.4865%,15.1134%,17.8499%,14.2180%,20.8531%,12.0907%,14.4016%,16.6667%,24.6528%,8.3123%,10.1420%,17.9348%,27.1739%,5.0378%,7.0994%,16.9492%,29.6610%,4.7859%,6.4909%,19.0000%,32.0000%,2.7708%,4.0568%,16.6667%,30.3030%,1.7632%,3.2454%,12.5000%,28.5714%,1.5113%,2.6369%,12.0000%,26.0000%,1.5113%,2.6369%,12.0000%,26.0000%,1.0076%,2.0284%,9.0909%,22.7273%,1.0076%,1.8256%,12.5000%,28.1250%,1.0076%,1.4199%,15.3846%,26.9231%
django-rest-framework,82.7083%,82.3232%,4.1966%,5.1691%,65.4167%,65.8249%,5.9741%,7.4391%,49.7917%,49.4949%,8.5418%,10.5075%,39.5833%,39.5623%,10.7223%,13.2619%,31.2500%,30.9764%,12.9534%,15.8895%,26.2500%,25.7576%,16.1125%,19.5652%,20.4167%,20.5387%,18.2836%,22.7612%,16.6667%,17.3401%,20.0000%,25.7500%,13.9583%,14.4781%,21.7532%,27.9221%,11.8750%,12.4579%,23.1707%,30.0813%,10.0000%,10.4377%,23.5294%,30.3922%,8.9583%,9.0909%,25.9036%,32.5301%,7.7083%,7.9125%,27.6119%,35.0746%,7.7083%,7.7441%,28.4615%,35.3846%,6.4583%,6.7340%,28.1818%,36.3636%,5.8333%,5.7239%,31.8182%,38.6364%,5.2083%,5.0505%,33.7838%,40.5405%,4.7917%,4.5455%,38.3333%,45.0000%,4.3750%,4.2088%,38.8889%,46.2963%,3.1250%,3.1987%,35.7143%,45.2381%
django-tastypie,86.4238%,84.5930%,2.1292%,2.3740%,65.8940%,62.2093%,5.7250%,6.1565%,43.0464%,40.1163%,9.9237%,10.5344%,28.4768%,26.7442%,14.0984%,15.0820%,22.5166%,21.2209%,17.7083%,19.0104%,17.8808%,17.1512%,21.9512%,23.9837%,15.5629%,15.1163%,24.4792%,27.0833%,13.5762%,13.0814%,27.7027%,30.4054%,11.2583%,10.7558%,31.4815%,34.2593%,9.2715%,8.7209%,33.3333%,35.7143%,8.2781%,7.8488%,34.7222%,37.5000%,6.9536%,6.6860%,36.2069%,39.6552%,5.9603%,5.8140%,34.6154%,38.4615%,5.6291%,5.5233%,34.0000%,38.0000%,5.2980%,5.2326%,36.3636%,40.9091%,4.9669%,4.9419%,37.5000%,42.5000%,3.9735%,4.0698%,35.2941%,41.1765%,3.3113%,3.4884%,33.3333%,40.0000%,3.3113%,3.4884%,35.7143%,42.8571%,2.9801%,3.1977%,40.9091%,50.0000%
docker-py,96.9863%,97.4419%,3.3358%,3.9484%,68.7671%,67.9070%,8.6077%,10.0137%,47.1233%,46.9767%,11.6689%,13.7042%,28.7671%,28.1395%,12.5000%,14.4048%,20.2740%,20.4651%,14.4531%,17.1875%,14.2466%,14.8837%,15.4762%,19.0476%,10.1370%,10.9302%,17.1296%,21.7593%,7.9452%,8.8372%,18.3544%,24.0506%,6.8493%,7.6744%,19.5313%,25.7813%,6.0274%,6.7442%,21.5686%,28.4314%,4.6575%,5.1163%,21.7949%,28.2051%,3.8356%,3.9535%,23.3333%,28.3333%,3.5616%,3.7209%,25.0000%,30.7692%,3.5616%,3.7209%,26.0000%,32.0000%,3.0137%,3.2558%,25.0000%,31.8182%,2.1918%,2.5581%,21.0526%,28.9474%,1.9178%,2.3256%,23.3333%,33.3333%,1.9178%,2.0930%,26.9231%,34.6154%,1.9178%,1.8605%,29.1667%,33.3333%,1.9178%,1.8605%,29.1667%,33.3333%
docutils,70.0665%,73.2639%,0.8754%,1.1691%,49.0022%,52.0833%,1.8618%,2.5274%,38.3592%,42.3611%,2.8901%,4.0762%,27.9379%,31.7708%,3.7367%,5.4270%,18.1818%,22.5694%,3.8534%,6.1090%,15.0776%,18.2292%,5.0520%,7.8009%,10.8647%,13.3681%,5.4688%,8.5938%,7.0953%,9.7222%,5.5556%,9.7222%,5.7650%,7.8125%,6.0185%,10.4167%,4.8780%,6.0764%,6.5868%,10.4790%,3.5477%,4.3403%,5.5556%,8.6806%,3.1042%,3.4722%,5.9829%,8.5470%,2.8825%,3.2986%,6.7708%,9.8958%,2.2173%,2.7778%,5.6818%,9.0909%,1.3304%,1.9097%,3.7500%,6.8750%,1.1086%,1.5625%,3.5714%,6.4286%,1.1086%,1.3889%,7.1429%,11.4286%,0.8869%,1.0417%,6.8966%,10.3448%,0.6652%,0.8681%,5.5556%,9.2593%,0.4435%,0.6944%,4.7619%,9.5238%
dvc,85.4406%,81.2345%,2.2926%,2.8800%,64.8604%,60.7705%,3.8037%,4.7089%,50.6294%,47.0588%,4.9769%,6.1121%,40.5583%,37.6553%,6.2217%,7.6322%,33.2786%,30.6545%,7.2902%,8.8729%,27.4220%,25.1036%,8.2428%,9.9704%,22.7696%,20.7539%,9.1308%,10.9965%,20.3612%,18.3927%,10.7826%,12.8696%,18.0624%,16.2386%,11.8026%,14.0200%,15.2709%,13.7945%,12.4332%,14.8396%,13.2458%,11.8890%,13.4295%,15.9267%,11.3848%,10.2734%,13.9224%,16.5997%,10.2354%,9.2792%,15.5833%,18.6667%,8.7028%,7.7465%,16.3244%,19.1992%,7.1702%,6.2966%,16.6244%,19.2893%,6.0755%,5.3438%,17.2360%,20.0311%,5.4187%,4.8053%,19.0385%,22.3077%,4.6524%,4.1425%,19.8598%,23.3645%,3.8862%,3.5626%,20.1705%,24.4318%,3.5577%,3.2726%,21.9595%,26.6892%
dymos,81.7901%,84.2752%,1.0950%,1.4174%,42.5926%,47.9115%,2.2668%,3.2030%,24.6914%,30.2211%,3.1008%,4.7674%,15.7407%,22.1130%,3.6533%,6.4470%,11.4198%,16.4619%,4.2431%,7.6835%,9.8765%,13.7592%,5.4795%,9.5890%,6.1728%,8.8452%,5.0761%,9.1371%,4.6296%,7.3710%,5.3957%,10.7914%,2.7778%,5.8968%,5.1724%,13.7931%,2.4691%,3.9312%,7.4074%,14.8148%,1.5432%,2.7027%,7.5758%,16.6667%,1.5432%,2.2113%,10.8696%,19.5652%,1.5432%,2.2113%,11.3636%,20.4545%,1.5432%,2.2113%,13.8889%,25.0000%,1.5432%,2.2113%,20.8333%,37.5000%,1.2346%,1.7199%,22.2222%,38.8889%,0.6173%,1.2285%,16.6667%,41.6667%,0.6173%,1.2285%,16.6667%,41.6667%,0.6173%,1.2285%,16.6667%,41.6667%,0.3086%,0.7371%,12.5000%,37.5000%
easytrader,86.9565%,86.6667%,5.1948%,6.7532%,58.6957%,60.0000%,5.9471%,7.9295%,50.0000%,51.6667%,5.9278%,7.9897%,36.9565%,41.6667%,6.2044%,9.1241%,32.6087%,38.3333%,7.8125%,11.9792%,30.4348%,35.0000%,11.6667%,17.5000%,23.9130%,28.3333%,12.5000%,19.3182%,17.3913%,23.3333%,11.4286%,20.0000%,15.2174%,21.6667%,12.0690%,22.4138%,15.2174%,18.3333%,14.5833%,22.9167%,10.8696%,11.6667%,13.8889%,19.4444%,10.8696%,11.6667%,15.6250%,21.8750%,6.5217%,8.3333%,13.6364%,22.7273%,6.5217%,8.3333%,15.0000%,25.0000%,6.5217%,8.3333%,16.6667%,27.7778%,4.3478%,5.0000%,16.6667%,25.0000%,2.1739%,1.6667%,12.5000%,12.5000%,2.1739%,1.6667%,16.6667%,16.6667%,2.1739%,1.6667%,16.6667%,16.6667%,2.1739%,1.6667%,16.6667%,16.6667%
edgedb,93.9981%,91.1219%,2.5742%,2.9930%,79.9129%,76.6747%,5.2670%,6.0614%,66.6021%,63.7207%,7.7469%,8.8898%,57.7928%,55.2462%,9.7073%,11.1301%,51.9361%,49.4754%,11.3762%,12.9983%,47.3379%,45.1170%,12.9024%,14.7493%,43.2236%,41.4447%,14.2515%,16.3900%,39.7870%,37.9338%,15.6214%,17.8639%,36.3020%,34.3422%,16.7261%,18.9786%,32.5750%,30.6699%,17.5443%,19.8123%,29.7193%,27.8450%,18.5835%,20.8838%,27.6864%,25.9080%,19.8887%,22.3227%,25.1210%,23.4463%,20.9274%,23.4274%,22.7009%,21.3075%,21.4940%,24.1980%,21.0552%,19.7337%,22.6799%,25.4953%,19.4579%,18.3212%,23.6749%,26.7373%,18.3446%,17.1509%,24.7066%,27.7053%,16.8925%,15.8596%,25.5117%,28.7281%,15.5857%,14.6086%,26.4803%,29.7697%,14.3756%,13.4786%,27.3481%,30.7551%
elastalert,96.3636%,97.1014%,9.6715%,12.2263%,81.8182%,84.0580%,12.2283%,15.7609%,63.6364%,69.5652%,14.7059%,20.1681%,43.6364%,47.8261%,14.2857%,19.6429%,36.3636%,42.0290%,14.2857%,20.7143%,36.3636%,40.5797%,16.1290%,22.5806%,36.3636%,39.1304%,18.5185%,25.0000%,34.5455%,37.6812%,19.3878%,26.5306%,29.0909%,31.8841%,21.0526%,28.9474%,27.2727%,30.4348%,24.1935%,33.8710%,25.4545%,28.9855%,24.1379%,34.4828%,25.4545%,27.5362%,25.9259%,35.1852%,25.4545%,27.5362%,26.9231%,36.5385%,23.6364%,24.6377%,30.9524%,40.4762%,21.8182%,23.1884%,31.5789%,42.1053%,20.0000%,21.7391%,30.5556%,41.6667%,20.0000%,21.7391%,32.3529%,44.1176%,20.0000%,21.7391%,36.6667%,50.0000%,16.3636%,17.3913%,34.6154%,46.1538%,16.3636%,17.3913%,34.6154%,46.1538%
elasticsearch-dsl-py,63.2768%,59.2275%,4.3546%,5.3655%,48.0226%,45.0644%,15.1246%,18.6833%,30.5085%,28.7554%,26.4706%,32.8431%,24.2938%,22.7468%,35.2459%,43.4426%,20.9040%,20.1717%,39.3617%,50.0000%,16.3842%,15.8798%,41.4286%,52.8571%,14.1243%,14.1631%,44.6429%,58.9286%,12.9944%,12.4464%,46.0000%,58.0000%,10.7345%,10.3004%,47.5000%,60.0000%,9.0395%,9.0129%,44.4444%,58.3333%,7.9096%,7.7253%,43.7500%,56.2500%,7.9096%,7.7253%,43.7500%,56.2500%,6.7797%,6.4378%,42.8571%,53.5714%,5.6497%,5.5794%,41.6667%,54.1667%,3.3898%,3.4335%,33.3333%,44.4444%,3.3898%,3.4335%,33.3333%,44.4444%,3.3898%,3.4335%,33.3333%,44.4444%,2.2599%,2.5751%,33.3333%,50.0000%,2.2599%,2.5751%,33.3333%,50.0000%,1.1299%,1.2876%,25.0000%,37.5000%
electrum,85.7909%,82.8452%,3.9402%,4.8759%,63.4048%,59.9372%,9.8644%,11.9499%,49.6649%,46.7573%,15.4246%,18.6095%,40.5496%,38.1799%,21.4996%,25.9417%,33.3110%,31.3808%,26.9815%,32.5733%,27.9491%,26.0460%,31.2126%,37.2754%,23.9276%,22.3326%,33.6792%,40.2830%,20.7105%,19.4561%,34.7973%,41.8919%,17.6944%,16.5795%,36.5651%,43.9058%,15.0804%,14.1736%,37.2517%,44.8675%,13.5389%,12.8138%,38.9961%,47.2973%,12.1314%,11.4540%,39.6930%,48.0263%,10.6568%,10.3033%,39.7500%,49.2500%,9.4504%,9.1004%,40.5172%,50.0000%,8.3110%,8.0544%,41.0596%,50.9934%,7.4397%,7.1653%,42.6923%,52.6923%,7.0375%,6.7992%,44.1176%,54.6218%,6.2332%,6.0669%,45.1456%,56.3107%,5.8311%,5.6485%,46.2766%,57.4468%,5.4290%,5.3347%,46.5517%,58.6207%
emissary,79.4406%,77.4118%,4.4431%,5.1471%,59.5804%,55.6471%,8.7117%,9.6728%,32.5874%,31.1765%,9.0450%,10.2873%,19.1608%,18.1176%,7.3498%,8.2618%,11.1888%,10.8235%,5.0891%,5.8524%,8.8112%,8.2353%,4.5718%,5.0798%,5.7343%,5.1765%,3.5043%,3.7607%,4.0559%,3.7647%,3.3257%,3.6697%,3.3566%,3.1765%,5.0847%,5.7203%,2.7972%,2.7059%,12.9870%,14.9351%,2.3776%,2.3529%,32.6923%,38.4615%,1.9580%,2.0000%,36.8421%,44.7368%,1.6783%,1.7647%,37.5000%,46.8750%,0.5594%,0.7059%,20.0000%,30.0000%,0.4196%,0.4706%,21.4286%,28.5714%,0.2797%,0.3529%,16.6667%,25.0000%,0.2797%,0.3529%,16.6667%,25.0000%,0.2797%,0.3529%,20.0000%,30.0000%,0.2797%,0.2353%,25.0000%,25.0000%,0.1399%,0.1176%,16.6667%,16.6667%
espnet,76.7937%,71.6740%,0.4670%,0.5546%,61.3789%,56.5198%,1.1323%,1.3266%,41.8161%,34.5374%,3.2768%,3.4437%,28.4753%,23.3040%,5.8525%,6.0945%,20.2915%,16.5198%,9.1092%,9.4363%,14.5740%,11.8502%,10.3917%,10.7514%,10.7063%,8.7225%,13.3566%,13.8462%,7.7915%,6.3877%,14.0404%,14.6465%,6.2220%,5.1542%,14.3041%,15.0773%,4.8767%,4.0529%,14.5485%,15.3846%,4.2040%,3.5242%,15.3061%,16.3265%,3.3632%,2.8194%,15.0754%,16.0804%,2.6345%,2.2026%,14.7799%,15.7233%,2.3543%,1.9383%,17.3554%,18.1818%,2.1861%,1.7621%,20.3125%,20.8333%,1.6816%,1.3656%,18.2927%,18.9024%,1.3453%,1.1013%,17.3913%,18.1159%,1.2332%,1.0132%,17.7419%,18.5484%,1.2332%,1.0132%,20.0000%,20.9091%,0.8969%,0.7489%,17.7778%,18.8889%
explainshell,100.0000%,97.1429%,1.7301%,5.8824%,30.0000%,51.4286%,2.4590%,14.7541%,0.0000%,22.8571%,0.0000%,26.6667%,0.0000%,14.2857%,0.0000%,31.2500%,0.0000%,8.5714%,0.0000%,25.0000%,0.0000%,5.7143%,0.0000%,25.0000%,0.0000%,5.7143%,0.0000%,25.0000%,0.0000%,5.7143%,0.0000%,25.0000%,0.0000%,5.7143%,0.0000%,25.0000%,0.0000%,5.7143%,0.0000%,25.0000%,0.0000%,2.8571%,0.0000%,16.6667%,0.0000%,2.8571%,0.0000%,16.6667%,0.0000%,2.8571%,0.0000%,25.0000%,0.0000%,2.8571%,0.0000%,25.0000%,0.0000%,2.8571%,0.0000%,50.0000%,0.0000%,2.8571%,0.0000%,50.0000%,0.0000%,2.8571%,0.0000%,50.0000%,0.0000%,2.8571%,0.0000%,50.0000%,0.0000%,2.8571%,0.0000%,50.0000%,0.0000%,2.8571%,0.0000%,50.0000%
