project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
faker,176922,114548,40572,10800,2526,976,426,258,106,78,58,42,24,18,16,14,14,10,8,8
falcon,30806,13000,6430,3638,2172,1374,888,624,478,336,266,218,180,130,102,92,78,58,44,38
featuretools,12144,5546,2760,1756,1144,786,500,334,214,156,114,82,64,52,40,34,26,22,22,20
flair,1626,664,406,256,174,140,104,74,62,58,54,48,40,38,36,30,28,26,22,20
flask,3894,2874,1972,1022,768,538,414,290,232,184,166,140,118,82,56,48,36,26,16,8
flask-admin,6078,1790,766,412,240,174,130,98,86,74,56,48,42,32,30,26,22,20,20,20
Flask-AppBuilder,34592,7912,1948,966,616,428,300,206,160,136,114,94,76,62,58,52,48,34,26,24
flocker,22624,5464,2854,1610,1092,808,634,520,424,358,304,282,246,230,212,192,178,162,148,126
folium,3444,2868,1548,1104,702,496,364,316,212,160,114,92,84,68,52,42,30,24,24,24
formspree,542,350,236,168,146,112,90,70,56,48,38,32,32,24,22,20,18,14,14,14
freqtrade,11888,4708,2604,1668,1166,914,728,580,468,388,320,296,250,214,190,170,150,128,120,108
gajim,17006,10326,6374,4240,2682,1782,1266,932,714,534,446,366,320,264,234,202,174,150,138,130
gallery-dl,12628,6900,4542,3218,2180,1518,1134,890,670,482,332,224,154,110,78,60,48,38,30,22
gensim,21112,14386,8248,3768,2050,1142,712,516,378,286,212,164,128,90,72,58,52,48,32,22
gensim-old,10664,7570,5004,2652,1542,914,578,424,306,238,178,138,106,68,50,38,36,34,22,16
geopy,4462,3166,2418,1916,1544,1320,1170,992,860,672,508,406,344,290,270,246,242,230,210,198
glance,9440,8314,7064,5246,3076,2054,1584,1276,1106,942,822,760,718,684,656,612,570,530,496,436
glances,9382,8036,6788,5072,3024,2056,1540,1270,1102,922,796,706,654,618,586,570,526,486,456,424
google-api-python-client,4568,3656,1704,632,266,168,114,70,54,48,34,24,18,12,12,12,12,12,12,6
gpodder,8278,6264,4866,3904,3456,3282,3214,2968,2654,2302,1834,1352,1060,806,618,458,358,280,214,186
gramps,1005096,968748,905010,737338,532342,353112,162540,83190,42948,24044,13784,8348,5248,3580,2502,1824,1370,990,714,536
graphene,10736,6508,3700,2228,1386,934,664,474,322,208,156,120,78,68,60,48,38,26,22,18
graphene-django,8158,2370,886,476,280,168,106,72,52,44,38,30,22,16,14,10,6,4,4,4
great_expectations,180818,66150,35558,20614,12336,7582,4880,3278,2304,1670,1268,1026,814,696,568,470,404,350,292,256
guake,1016,658,484,352,268,198,152,136,102,86,64,48,42,38,36,32,26,26,24,20
gunicorn,4528,1700,626,448,314,244,190,150,110,86,66,58,44,38,36,36,34,26,22,18
horizon,126178,53932,33510,19538,10896,6754,4326,2720,1726,1244,900,650,512,394,300,250,208,156,122,102
httpie,3494,1854,1178,824,608,452,358,278,224,166,136,102,86,62,44,36,28,18,14,10
httpx,1852,1266,888,620,438,344,270,206,158,126,108,88,72,58,46,36,30,26,20,12
huey,850,514,294,178,128,66,56,50,38,30,28,18,14,14,12,10,8,8,6,6
hug,13008,4132,2358,1286,908,642,508,388,278,214,170,138,110,88,70,52,44,44,36,32
hy,780,604,520,498,450,424,354,294,236,188,160,126,114,100,86,74,58,48,34,32
hydra,17476,4830,2456,1560,1040,716,548,434,344,276,218,178,138,116,86,72,62,48,42,36
hyperopt,2522,2130,1058,592,344,224,140,98,72,54,44,40,38,36,28,24,20,18,16,16
hypothesis,131212,110296,107714,106732,82756,69326,61914,38304,17624,6752,2982,1422,792,490,326,206,150,108,92,76
ignite,29000,15984,8728,4872,3164,1968,1330,1028,756,576,392,310,226,182,112,88,64,40,30,26
imagededup,618,324,220,126,92,82,60,46,34,24,22,20,18,16,14,10,8,8,8,2
imbalanced-learn,10358,6538,4042,2556,1488,1008,700,532,368,306,262,214,138,110,68,36,16,8,8,8
impacket,73180,30744,19444,12944,8416,5256,2536,1630,1254,1006,782,632,478,384,316,234,182,148,104,72
InstaPy,858,530,414,326,268,216,176,148,126,108,100,94,82,70,64,64,60,54,52,52
invoke,7884,2408,1244,642,392,272,186,144,112,94,70,58,48,40,34,28,28,26,18,18
