project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
sanic,https://github.com/sanic-org/sanic,Async Python 3.7+ web server/framework | Build fast. Run fast.sanic,192,20954,1220,297,218,100,166,20440,123.1325301
SASM,https://github.com/Dman95/SASM,"SASM - simple crossplatform IDE for NASM, MASM, GAS and FASM assembly languagesSASM",244,60877,265,3,18,1,155,36317,234.3032258
saws,https://github.com/donnemartin/saws,A supercharged AWS command line interface (CLI).saws,47,2338,812,55,8,2,35,1725,49.28571429
scalene,https://github.com/plasma-umass/scalene,"Scalene: a high-performance, high-precision CPU, GPU, and memory profiler for Pythonscalene",96,12307,1048,5,17,2,67,7360,109.8507463
scapy,https://github.com/secdev/scapy,Scapy: the Python-based interactive packet manipulation program & library. Supports Python 2 & Python 3.scapy,342,114524,3359,515,369,146,320,114604,358.1375
schedule,https://github.com/dbader/schedule,Python job scheduling for humans.schedule,4,1240,282,32,46,16,4,1240,310
scikit-image,https://github.com/scikit-image/scikit-image,Image processing in Pythonscikit-image,653,66999,7319,790,497,222,559,50776,90.83363148
scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn,977,194084,14189,5453,1949,1554,835,175510,210.1916168
scipy,https://github.com/scipy/scipy,scipy,1981,456881,15727,1662,1124,552,809,198678,245.5846724
scrapy,https://github.com/scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.scrapy",337,36741,4796,512,499,143,314,36019,114.7101911
scrapy-redis,https://github.com/rmax/scrapy-redis,Redis-based components for Scrapy.scrapy-redis,34,1757,127,12,22,9,29,1220,42.06896552
scylla,https://github.com/imWildCat/scylla,Intelligent proxy pool for Humans�?(Maintainer needed)scylla,72,2054,287,54,17,8,55,1641,29.83636364
seaborn,https://github.com/mwaskom/seaborn,Statistical data visualization in Pythonseaborn,108,25414,1773,310,146,48,99,24957,252.0909091
security_monkey,https://github.com/Netflix/security_monkey,"Security Monkey monitors AWS, GCP, OpenStack, and GitHub orgs for assets and their changes over time.security_monkey",434,40139,950,240,134,52,300,24374,81.24666667
segmentation_models.pytorch,https://github.com/qubvel/segmentation_models.pytorch,Segmentation models with pretrained backbones. PyTorch.segmentation_models.pytorch,84,5647,136,65,32,30,78,5543,71.06410256
semantic-segmentation-pytorch,https://github.com/CSAILVision/semantic-segmentation-pytorch,semantic-segmentation-pytorch,45,3489,194,1,11,1,35,3189,91.11428571
sentence-transformers,https://github.com/UKPLab/sentence-transformers,sentence-transformers,187,12146,753,24,61,2,175,10464,59.79428571
sentry,https://github.com/getsentry/sentry,sentry,4081,469586,14281,2604,248,97,3043,332573,109.29116
seq2seq,https://github.com/google/seq2seq,A general-purpose encoder-decoder framework for Tensorflowseq2seq,98,6698,531,2,15,1,80,5955,74.4375
serenata-de-amor,https://github.com/okfn-brasil/serenata-de-amor,馃暤 Artificial Intelligence for social control of public administrationserenata-de-amor,195,14598,956,47,89,12,174,9610,55.22988506
SerpentAI,https://github.com/SerpentAI/SerpentAI,Game Agent Framework. Helping you create AIs / Bots that learn to play any game you own!SerpentAI,94,8367,169,1,6,1,86,8209,95.45348837
sh,,Python process launchingsh,3,3947,749,69,67,13,3,3947,1315.666667
Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,鎻愪緵澶氭 Shadowrocket 瑙勫垯锛屽甫骞垮憡杩囨护鍔熻兘銆傜敤�?iOS 鏈秺鐙辫澶囬€夋嫨鎬у湴鑷姩缈诲銆係hadowrocket-ADBlock-Rules,7,326,196,22,13,8,5,309,61.8
shadowsocksr,https://github.com/shadowsocksr-backup/shadowsocksr,shadowsocksr,67,6294,550,24,18,1,33,5682,172.1818182
sherlock,https://github.com/sherlock-project/sherlock,sherlock,16,3730,568,10,96,3,10,816,81.6
sigma,https://github.com/SigmaHQ/sigma,Generic Signature Format for SIEM Systemssigma,1656,76929,4203,60,307,18,91,12722,139.8021978
skflow,https://github.com/tensorflow/skflow,Simplified interface for TensorFlow (mimicking Scikit Learn) for Deep Learningskflow,4,416,135,15,8,3,4,416,104
skorch,https://github.com/skorch-dev/skorch,scikit-learn interface with pytorchskorch,67,14332,584,207,45,35,60,14832,247.2
sktime,https://github.com/alan-turing-institute/sktime,A unified framework for machine learning with time seriessktime,431,47829,879,367,116,100,386,42077,109.007772
SlowFast,https://github.com/facebookresearch/SlowFast,PySlowFast: video understanding codebase from FAIR for reproducing state-of-the-art video models.SlowFast,155,18126,161,17,23,12,82,13596,165.804878
snips-nlu,https://github.com/snipsco/snips-nlu,Snips Python library to extract meaning from textsnips-nlu,129,25283,1055,42,18,7,117,17793,152.0769231
snorkel,https://github.com/snorkel-team/snorkel,A system for quickly generating training data with weak supervisionsnorkel,130,7911,443,257,41,24,124,7766,62.62903226
social-engineer-toolkit,https://github.com/trustedsec/social-engineer-toolkit,The Social-Engineer Toolkit (SET) repository from TrustedSec - All new versions of SET will be deployed here.social-engineer-toolkit,116,14945,687,7,73,5,76,10438,137.3421053
sonnet,https://github.com/deepmind/sonnet,TensorFlow-based neural network librarysonnet,138,13231,434,7,50,4,134,13148,98.11940299
spaCy,https://github.com/explosion/spaCy,馃挮 Industrial-strength Natural Language Processing (NLP) in PythonspaCy,807,134592,6892,1671,438,319,648,72491,111.8688272
