project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
nginx-proxy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nlp-recipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nltk,8.329710144927537,9.75438596491228,9.4,1.108695652173913,1.2894736842105263,1.2833333333333334,38.97826086956522,48.19298245614035,49.55,1195.7463768115942,1760.8684210526317,1721.4916666666666,1.2463768115942029,1.456140350877193,1.5,22.916666666666668,28.45614035087719,25.816666666666666
nni,3.096774193548387,3.1956521739130435,3.44,7.870967741935484,9.043478260869565,10.72,7.935483870967742,9.043478260869565,10.72,287.44086021505376,397.45652173913044,452.84,8.182795698924732,9.304347826086957,11.56,302.494623655914,417.7391304347826,495.8
node-gyp,8.432432432432432,9.75,10.071428571428571,2.7567567567567566,3.0,2.857142857142857,12.486486486486486,15.416666666666666,16.857142857142858,2380.4324324324325,2966.25,3788.3571428571427,2.7567567567567566,3.0,2.857142857142857,75.13513513513513,110.41666666666667,145.85714285714286
nose,4.420454545454546,5.375,5.078947368421052,1.4090909090909092,2.0208333333333335,1.7894736842105263,16.829545454545453,21.041666666666668,23.236842105263158,503.75,665.0625,768.3947368421053,1.4659090909090908,2.0833333333333335,1.8157894736842106,40.18181818181818,68.29166666666667,32.68421052631579
nova,17.12892741061755,20.212074303405572,25.97215189873418,8.918743228602384,11.503095975232197,16.52151898734177,42.938244853737814,53.696594427244584,74.27594936708861,1145.326110509209,1476.9442724458204,2154.7518987341773,10.09750812567714,13.075851393188854,18.774683544303798,230.26002166847238,306.0340557275542,449.38227848101263
ntfy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
numba,4.928730512249444,5.196363636363636,5.683333333333334,2.2316258351893095,2.6363636363636362,3.2,29.27839643652561,33.192727272727275,39.975,672.1314031180401,799.7745454545454,914.8166666666667,2.43652561247216,2.847272727272727,3.466666666666667,66.96436525612472,76.44363636363636,89.50833333333334
numpy,17.494444444444444,21.502183406113538,31.89855072463768,10.702777777777778,14.087336244541484,21.71014492753623,54.87777777777778,70.6943231441048,108.20289855072464,1567.7611111111112,2044.7248908296942,3513.4202898550725,11.230555555555556,14.864628820960698,23.202898550724637,245.50277777777777,343.410480349345,661.8840579710145
