project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
invoke,2.75,3.1666666666666665,5.333333333333333,2.75,3.6666666666666665,7.333333333333333,28.875,37.833333333333336,74.0,521.5,683.1666666666666,998.0,3.25,4.333333333333333,8.666666666666666,45.375,60.5,121.0
ipython,19.72222222222222,20.352941176470587,24.384615384615383,6.611111111111111,6.823529411764706,8.615384615384615,104.44444444444444,108.41176470588235,134.15384615384616,2472.8888888888887,2582.176470588235,3237.3846153846152,6.888888888888889,7.117647058823529,9.0,99.5,94.3529411764706,134.15384615384616
isort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jax,10.851851851851851,15.0,17.75,19.333333333333332,27.4,33.166666666666664,81.44444444444444,119.53333333333333,143.91666666666666,3603.074074074074,4979.4,6044.416666666667,21.37037037037037,30.733333333333334,37.333333333333336,665.1481481481482,963.9333333333333,1174.75
jieba,5.0,2.0,3.5,0.0,0.0,0.0,18.0,2.0,9.0,415.3333333333333,124.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0
jsonschema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jumpgate,5.333333333333333,5.333333333333333,7.5,1.0,1.0,1.5,15.666666666666666,15.666666666666666,22.5,436.0,436.0,627.0,1.0,1.0,1.5,63.333333333333336,63.333333333333336,95.0
jumpserver,4.392156862745098,4.525,5.129032258064516,12.96078431372549,14.5,17.161290322580644,21.764705882352942,24.8,30.0,499.45098039215685,568.025,678.0322580645161,15.058823529411764,16.975,20.096774193548388,702.2941176470588,795.95,1032.3225806451612
kafka-python,9.9,11.318181818181818,12.789473684210526,17.433333333333334,21.40909090909091,24.105263157894736,38.96666666666667,46.86363636363637,52.473684210526315,1152.4,1310.9545454545455,1471.1052631578948,17.733333333333334,21.818181818181817,24.57894736842105,428.8,489.59090909090907,539.0
KaraKara,1.6764705882352942,1.7692307692307692,1.6111111111111112,0.0,0.0,0.0,19.823529411764707,37.53846153846154,17.055555555555557,329.4117647058824,646.6153846153846,275.0,0.0,0.0,0.0,0.0,0.0,0.0
